Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
71,43,22,44,70,11,0.8,0.0825,0.0003375,0.3100969454210791
72,49,14,29,74,19,0.2,0.0725,0.0,0.4267280155243413
73,50,26,50,57,12,0.2,0.0725,0.000225,0.4324748967819709
74,32,15,31,60,17,0.3,0.0525,0.0001125,0.4230420605950974
75,52,29,29,59,15,0.3,0.0525,0.0001125,0.4335916103045465
76,39,17,43,78,25,0.6000000000000001,0.0125,0.000675,0.5669436098680114
77,25,24,36,51,24,0.5,0.0825,0.0007875,0.4131323936446538
78,26,20,43,82,25,0.5,0.0125,0.0001125,0.6699937632536633
79,51,27,36,77,26,0.2,0.0225,0.0,0.7075622563158844
80,27,16,28,58,11,0.3,0.0625,0.0007875,0.388522440385579
81,38,31,29,57,11,0.8,0.0325,0.000675,0.1813214900000804
82,47,16,52,50,16,0.5,0.0225,0.0009,0.4350046572808244
83,33,25,40,53,15,0.4,0.0825,0.00045,0.3822723206225158
84,48,19,47,72,14,0.4,0.0525,0.0,0.3893777222160161
85,54,29,35,53,18,0.7000000000000002,0.0725,0.000675,0.3625841873279176
86,37,30,44,59,14,0.4,0.0925,0.0007875,0.5074927661318774
87,42,19,43,69,10,0.8,0.0125,0.000225,0.3633620575243995
88,51,20,49,64,16,0.7000000000000002,0.0625,0.00045,0.3850110813369406
89,29,23,50,67,11,0.2,0.0625,0.00045,0.5096259532143742
90,52,10,43,64,12,0.8,0.0425,0.00045,0.2271690145937727
91,32,13,33,80,18,0.6000000000000001,0.0825,0.0005625,0.266859402292447
92,35,24,31,80,14,0.3,0.0125,0.0001125,0.6658375046041913
93,54,12,35,58,25,0.5,0.0525,0.0009,0.3288099277675045
94,30,31,40,53,20,0.5,0.0225,0.0007875,0.5694033870255538
95,27,29,42,57,24,0.7000000000000002,0.0525,0.0001125,0.2610005989914804
96,30,25,26,71,14,0.6000000000000001,0.0425,0.0009,0.3069284217792801
97,46,31,31,60,22,0.7000000000000002,0.0125,0.000675,0.3177583028845051
98,53,13,53,61,24,0.6000000000000001,0.0425,0.0001125,0.3321445310773517
99,43,31,49,52,29,0.8,0.0125,0.0009,0.1695696457815906
100,51,15,25,71,20,0.3,0.0325,0.0003375,0.5701742141004189
0,40,25,40,75,15,0.5,0.0625,0.0,0.66872591
1,30,26,29,55,18,0.8,0.0825,0.0007875,0.1311962743559309
2,38,32,36,68,11,0.4,0.0225,0.0009,0.431613582382665
3,53,24,45,68,27,0.3,0.0925,0.0009,0.390689481682601
4,40,18,43,80,12,0.4,0.0125,0.000675,0.4261485255363331
5,42,10,44,50,11,0.3,0.0625,0.0001125,0.3356608377446887
